preposition,is_atomic,is_spatial,class,transitivity,synonyms,antonyms,hypernym,hyponym,meronym,holonym,supersense
a,TRUE,True,,,,,,,,,
aboard,TRUE,True,,both,"alongside, on base, on board",,,,,,
above,TRUE,True,PROJECTIVE,both,"higher up, in a higher place, supra, to a higher place",below,"section, subdivision",,,,
across,TRUE,True,EXTENDED,both,"crossways, crosswise",,,,,,
adjacent,TRUE,True,,,,,,,,,
adjacent to,FALSE,True,,,,,,,,,
afore,TRUE,True,,,,,,,,,
after,TRUE,True,,both,"afterward, afterwards, later, later on, subsequently",,,,,,
against,TRUE,True,BOUNDED,both,,,,,,,
ahead,TRUE,True,,intransitive,,,,,,,
ahead of,FALSE,True,,,,,,,,,
along,TRUE,True,EXTENDED,both,on,,,,,,
alongside,FALSE,True,,,aboard,,,,,,
amid,TRUE,True,,transitive,,,,,,,
amidst,TRUE,True,,,,,,,,,
among,TRUE,True,BOUNDED,transitive,,,,,,,
amongst,TRUE,True,,,,,,,,,
apart,TRUE,True,,intransitive,,,,,,,
apart from,FALSE,True,,,,,,,,,
around,FALSE,True,EXTENDED,both,"about, approximately, close to, just about, more or less, or so, roughly, round, some",,,,,,
as far as,FALSE,True,,,,,,,,,
aside,TRUE,True,,intransitive,,,,,,,
aside from,FALSE,True,,,,,,,,,
astern,TRUE,True,,,,,,,,,
astern of,FALSE,True,,,,,,,,,
astride,TRUE,True,,transitive,astraddle,,,,,,
at,TRUE,True,,transitive,"At, astatine, atomic number 85",,"Laotian monetary unit, chemical element, element, halogen",,,kip,
at the back of,FALSE,True,,,,,,,,,
at the rear of,FALSE,True,,,,,,,,,
atop,FALSE,True,,,on top of,,,,,,
back,TRUE,True,,intransitive,,,,,,,
base,TRUE,True,,,,,,,,,
before,TRUE,True,,,"ahead, earlier, in front",,,,,,
behind,TRUE,True,PROJECTIVE,,"arse, ass, backside, behindhand, bottom, bum, buns, butt, buttocks, can, derriere, fanny, fundament, hind end, hindquarters, in arrears, keister, nates, posterior, prat, rear, rear end, rump, seat, slow, stern, tail, tail end, tooshie, tush",,body part,,,"body, torso, trunk",
below,TRUE,True,PROJECTIVE,,"at a lower place, beneath, down the stairs, downstairs, infra, on a lower floor, to a lower place, under","above, upstairs",,,,,
beneath,TRUE,True,,,"at a lower place, below, to a lower place",above,,,,,
beside,FALSE,True,BOUNDED,transitive,,,,,,,
between,FALSE,True,BOUNDED,both,"tween, betwixt",,,,,,
betwixt,TRUE,True,,,,,,,,,
beyond,TRUE,True,PROJECTIVE,both,,,,,,,
bottom,TRUE,True,,,,,,,,,
but,TRUE,True,,,"just, merely, only, simply",,,,,,
by,TRUE,True,,both,"aside, away, past",,,,,,
by means of,FALSE,True,,,,,,,,,
by virtue of,FALSE,True,,,,,,,,,CAUSER
center,TRUE,True,,,,,,,,,
close,TRUE,True,,,,,,,,,
close to,FALSE,True,,,,,,,,,
core,TRUE,True,,,,,,,,,
corner,TRUE,True,,,,,,,,,
cross,TRUE,True,,,,,,,,,
down,TRUE,True,PARTICLE,both,"Down, John L. H. Down, belt down, blue, bolt down, consume, cut down, depressed, devour, dispirited, down feather, down in the mouth, down pat, downcast, downhearted, downward, downwardly, downwards, drink down, fine-tune, gloomy, go through, grim, kill, knock down, land, low, low-spirited, mastered, pile, polish, pop, pour down, pull down, push down, refine, shoot down, toss off","upwards ,  upward ,  upwardly ,  up","ameliorate, amend, better, defeat, drink, eat, feather, get the better of, hair, highland, imbibe, improve, meliorate, overcome, play, plumage, plume, strike, turn, upland","civilise, civilize, cultivate, duck down, educate, goose down, lanugo, over-refine, overrefine, plumule, school, submarine, swan's down, train",,,
edge,TRUE,True,,,,,,,,,
end,TRUE,True,,,,,,,,,
except,TRUE,True,,,"demur, exclude, leave off, leave out, omit, take out",include,"do away with, eliminate, extinguish, get rid of, object",elide,,,PARTWHOLE
except for,FALSE,True,,,,,,,,,PARTWHOLE
face,TRUE,True,,,,,,,,,
far,TRUE,True,,,,,,,,,
far from,FALSE,True,,,,,,,,,
flank,TRUE,True,,,,,,,,,
following,FALSE,True,,transitive,"abide by, accompany, adopt, be, chase, come, come after, comply, conform to, espouse, fall out, follow, followers, keep abreast, keep an eye on, keep up, next, observe, play along, postdate, pursual, pursue, pursuit, stick to, stick with, succeed, surveil, survey, take after, trace, travel along, undermentioned, watch, watch over","precede,  leading,  predate","act, analyse, analyze, apply, arise, be, behave, canvas, canvass, check, check into, check out, check over, check up on, choose, copy, develop, do, ensue, examine, go, go over, grow, hang in, hang on, hoi polloi, hold on, imitate, locomote, look into, mass, masses, motion, move, movement, multitude, obey, originate, people, persevere, persist, pick out, play, practice, result, rise, select, simulate, spring up, study, suss out, take, the great unwashed, travel, understand, uprise, use","accede, accommodate, adhere, ascend, carry, chase, chase after, claque, conform to, cox, dawdle, dog, enter, faithful, fall back, fall behind, fandom, give chase, go after, go by, guard, haunt, heel, invigilate, keep tabs on, lag, oblige, proctor, replace, shadow, shadowing, stalk, stalking, stick, supercede, supersede, supervene upon, supplant, tag, tail, tailgate, tailing, toe the line, track, tracking, trail, trailing, vet","buff, devotee, fan, lover",,
foot,TRUE,True,,,,,,,,,
for,TRUE,True,,,,,,,,,
from,TRUE,True,,transitive,,,,,,,"LOCUS, SOURCE"
from behind,FALSE,True,,,,,,,,,
from under,FALSE,True,,,,,,,,,
front,TRUE,True,,,,,,,,,
heart,TRUE,True,,,,,,,,,
in,TRUE,True,PARTICLE,both,"Hoosier State, IN, In, Indiana, atomic number 49, inch, indium, inward, inwards",,"linear measure, linear unit, metal, metallic element",,"Bloomington, Evansville, Fort Wayne, Gary, Indianapolis, Lafayette, Muncie, South Bend, Wabash, Wabash River, capital of Indiana, em, ligne, mesh, mil, pica, pica em","America, Corn Belt, Midwest, U.S., U.S.A., US, USA, United States, United States of America, blende, foot, ft, middle west, midwestern United States, sphalerite, the States, zinc blende",
in a higher place,FALSE,True,,,,,,,,,
in addition to,FALSE,True,,,,,,,,,
in front of,FALSE,True,PROJECTIVE,,,,,,,,
in place of,FALSE,True,,,,,,,,,
inside,FALSE,True,PROJECTIVE,both,"at bottom, at heart, deep down, in spite of appearance, indoors, inner, interior, inwardly, privileged, within","outside,  outwardly,  outdoors","part, region, surface","belly, midland, midst, penetralia, thick",,,
inside of,FALSE,True,,,,,,,,,
into,FALSE,True,,transitive,,,,,,,
left,TRUE,True,PARTICLE,,,,,,,,
left of,FALSE,True,,,,,,,,,
middle,TRUE,True,,,,,,,,,
near,TRUE,True,BOUNDED,both,"about, almost, approach, approximate, cheeseparing, close, come near, come on, dear, draw close, draw near, go up, good, most, nearly, nigh, penny-pinching, skinny, virtually, well-nigh",far,"come, come up","bear down on, bear down upon, close, crowd, drive up, edge in, edge up, push",,,
near to,FALSE,True,,,,,,,,,
nearer,FALSE,True,,transitive,"approximate, cheeseparing, close, closer, dear, good, near, nigh, nigher, penny-pinching, skinny",far,,,,,
nearest,FALSE,True,,transitive,"approximate, cheeseparing, close, closest, dear, good, near, nigh, nighest, penny-pinching, skinny",far,,,,,
next to,FALSE,True,BOUNDED,,,,,,,,
nigh,TRUE,True,,,,,,,,,
of,TRUE,True,,transitive,,,,,,,
off,TRUE,True,PARTICLE,both,"away, bump off, cancelled, dispatch, forth, hit, murder, polish off, remove, slay, sour, turned",on,kill,"burke, execute",,,LOCUS
on,TRUE,True,PARTICLE,both,along,off,,,,,
on top of,FALSE,True,,,,,,,,,
onto,FALSE,True,,transitive,,,,,,,
opposite,TRUE,True,,transitive,"antonym, contrary, diametric, diametrical, face-to-face, inverse, opponent, opposite word, opposition, paired, polar, reverse","synonym,  alternate","contestant, oppositeness, opposition, word","additive inverse, direct antonym, indirect antonym, multiplicative inverse, reciprocal",,,
opposite of,FALSE,True,,,,,,,,,
opposite to,FALSE,True,,,,,,,,,
out,TRUE,True,,transitive,"KO'd, away, come out, come out of the closet, extinct, forbidden, kayoed, knocked out, prohibited, proscribed, stunned, taboo, tabu, verboten",safe,"break, bring out, disclose, discover, divulge, expose, failure, give away, let on, let out, reveal, unwrap","putout, strikeout",,,
out from,FALSE,True,,,,,,,,,
out of,FALSE,True,,,,,,,,,
outside,FALSE,True,PROJECTIVE,transitive,"alfresco, away, exterior, external, extraneous, international, out-of-door, out of doors, outdoor, outdoors, remote","indoors,  indoor,  inside","part, region, surface","open, open air, out-of-doors, outdoors",,,
outside of,FALSE,True,,,,,,,,,
over,TRUE,True,EXTENDED,both,"all over, complete, concluded, ended, o'er, terminated",,"division, part, section","maiden, maiden over",,"period of play, play, playing period",
past,TRUE,True,EXTENDED,both,"by, past tense, past times, preceding, retiring, yesteryear","present,  future","period, period of time, tense, time, time period","auld langsyne, bygone, good old days, history, langsyne, old, old times, preterit, preterite, time immemorial, time out of mind, water under the bridge, yesterday, yore",,life,
plus,TRUE,True,,,"addition, asset, positive, summation","minus ,  liability","arithmetic operation, quality","advantage, forte, long suit, metier, resource, speciality, specialty, strength, strong point, strong suit, vantage",,,
prior,TRUE,True,,,,,,,,,
prior to,FALSE,True,,,,,,,,,
rear,TRUE,True,,,,,,,,,
right,TRUE,True,PARTICLE,,,,,,,,
right of,FALSE,True,,,,,,,,,
rim,TRUE,True,,,,,,,,,
side,TRUE,True,,,,,,,,,
skin,TRUE,True,,,,,,,,,
subsequent,TRUE,True,,,,,,,,,
subsequent to,FALSE,True,,,,,,,,,
surface,TRUE,True,,,,,,,,,
through,TRUE,True,EXTENDED,both,"done, through and through, through with",,,,,,
throughout,TRUE,True,EXTENDED,both,"end-to-end, passim",,,,,,
to,TRUE,True,,,,,,,,,
to a higher place,FALSE,True,,,,,,,,,
to behind,FALSE,True,,,,,,,,,
to under,FALSE,True,,,,,,,,,
top,TRUE,True,,,,,,,,,
toward,TRUE,True,,,,,,,,,
towards,TRUE,True,,,,,,,,,
tween,TRUE,True,,,,,,,,,
under,TRUE,True,EXTENDED,both,"below, nether",,,,,,
underneath,FALSE,True,,both,,,,,,,
underside,TRUE,True,,,,,,,,,
up,TRUE,True,PARTICLE,both,"astir, improving, upward, upwardly, upwards","downwards ,  downward ,  downwardly ,  down",increase,,,,
up to,FALSE,True,,,,,,,,,
upon,TRUE,True,BOUNDED,,,,,,,,
upside,FALSE,True,,,"top, top side, upper side",,"face, side","crest, crown, desktop, pate, poll, rooftop, tiptop",,,
via,TRUE,True,EXTENDED,intransitive,,,,,,,
with,TRUE,True,,,,,,,,,
within,TRUE,True,,both,inside,outside,,,,,
without,TRUE,True,,both,,,,,,,
next,TRUE,True,,transitive,,,,,,,
away,TRUE,True,PARTICLE,intransitive,,,,,,,
